Sample_ID	DNA_concentration	k__Bacteria	k__Archaea	k__Eukaryota	unclassified	bac_frac	Sample_type	log_copies_per_extraction	Plate	alpha
P05C09	39.08	84.013268683568	0	0	15.98673	0.9576384413484496	next_day	9.138250147757338	P05	3.2443190828824995
P05D09	56.18	91.6220951445029	0	0	8.3779	0.955911253925602	next_day	9.47331984084106	P05	3.3157198359906586
P05E09	12.63	90.89063702568278	0	0	9.10936	0.9158937262444384	next_day	8.349172924311075	P05	3.3371109645747334
P05F09	90.94	87.5570951220284	0	0	12.4429	0.8566887607855034	next_day	9.560334097724324	P05	2.8139210479443726
P05G09	14.31	93.03899745155196	0.1565218747084543	0	6.80448	0.8965196516169859	next_day	8.716628549999326	P05	1.9249943594508632
P05A10	55.6	92.12242427042028	0	0	7.87758	0.9460926883473868	next_day	9.43974198452864	P05	2.9198288961250087
P05B10	164.81	87.12972049809096	1.2700303809034246	0	11.60025	0.8952391419514014	next_day	9.611399936757085	P05	2.764587465892354
P05C10	66.38	92.30696484647024	0	0	7.69304	0.9418772169019908	next_day	9.400842976121544	P05	2.853099497325268
P05D10	56.73	100	0	0	0	0.9387580461230594	next_day	9.139309153131371	P05	1.706024103252738
P05E10	373.87	92.54452526033664	0.0288643828907582	0	7.42661	0.9306696264645778	next_day	9.99772651719313	P05	2.9147711459804553
P05F10	112.5	93.8741729575568	0	0	6.12583	0.943842015568882	next_day	9.782279708085962	P05	2.73387128803716
P05G10	6.49	90.72318314343082	0	0	9.27682	0.8783560297417675	next_day	7.731943137875459	P05	2.7152337252689804
P05H10	178.2	99.8873526212046	0	0.0042853512690191	0.10836	0.8919828758346993	next_day	10.158095412157977	P05	2.3456227632485143
P05A11	68.44	94.73592734049188	0	0	5.26407	0.8965435998892841	next_day	9.437260936973058	P05	3.061584602331091
P05B11	188.24	92.9922076933196	0	0	7.00779	0.933617753886506	next_day	10.101780209210608	P05	2.6016735575154533
P05C11	231.69	97.5120293414524	0	0	2.48797	0.9572189627019376	next_day	10.053459320787844	P05	2.8797321111261764
P05D11	39.05	61.65489374668619	0	0	38.34511	0.9276793708514128	next_day	8.910032297927986	P05	2.524105627930633
P05E11	195.79	92.23065764769603	0	0	7.76934	0.9259110643068792	next_day	9.99104580163839	P05	2.686088117472989
